ID,Nome,Categoria,Quantidade,Valor
1,Item_1,D,43,884.98
2,Item_2,B,41,770.61
6,Item_6,C,18,991.69
8,Item_8,A,22,540.12
10,Item_10,C,23,732.68
11,Item_11,B,16,732.3
13,Item_13,D,29,748.29
18,Item_18,B,4,572.16
20,Item_20,A,21,563.57
22,Item_22,D,25,761.73
24,Item_24,A,15,926.12
25,Item_25,B,21,979.69
26,Item_26,D,8,897.47
28,Item_28,C,35,766.39
31,Item_31,D,6,590.56
35,Item_35,D,43,648.22
40,Item_40,C,28,959.32
42,Item_42,D,36,889.99
43,Item_43,B,48,608.59
46,Item_46,B,42,743.68
47,Item_47,D,4,801.5
48,Item_48,B,34,542.89
49,Item_49,D,18,811.56
50,Item_50,B,37,780.15
51,Item_51,C,15,525.83
53,Item_53,C,2,532.8
54,Item_54,A,13,624.25
56,Item_56,A,44,924.58
58,Item_58,A,26,642.33
59,Item_59,C,47,577.97
62,Item_62,D,35,805.56
69,Item_69,D,45,969.74
72,Item_72,B,5,665.68
73,Item_73,B,40,690.35
75,Item_75,D,28,546.65
78,Item_78,B,48,788.29
80,Item_80,C,33,766.38
81,Item_81,D,21,961.53
82,Item_82,C,47,577.86
83,Item_83,D,43,540.11
85,Item_85,B,38,964.88
86,Item_86,A,23,847.7
89,Item_89,D,28,737.0
90,Item_90,A,28,916.26
91,Item_91,A,39,739.38
92,Item_92,C,17,863.81
93,Item_93,A,8,846.13
95,Item_95,D,36,874.78
97,Item_97,A,8,984.93
98,Item_98,A,17,834.08
99,Item_99,B,26,802.8
100,Item_100,D,45,905.74
